Year,Month,Longitude,Latitude
2015.0,10.0,102.337624,2.322985
2015.0,8.0,-120.86503268374642,35.39266105
2015.0,8.0,-120.849901,35.3658075
2015.0,8.0,-119.985823,34.7136533
2015.0,5.0,18.8573,10.1183
2014.0,8.0,113.4084344,-24.4774865
2014.0,7.0,-80.9271271,29.0258132
2014.0,5.0,-80.8469427,31.9987321
2013.0,11.0,-156.45654,20.741705
2013.0,10.0,113.8876247,-22.0960185
2013.0,10.0,-156.4956999,20.9208377
2013.0,4.0,153.1880565,-30.1694411
2012.0,11.0,-157.8264334,21.2725844
2012.0,8.0,-146.88331354609022,-15.66136275
2012.0,7.0,136.46139206584118,-35.1547688
2012.0,6.0,-72.220631,21.784315
2012.0,6.0,-78.8900409,33.6956461
2012.0,4.0,-106.729664,34.80613
2012.0,1.0,113.770165,-23.1436752
2011.0,11.0,-54.05608221169366,49.71052315
2011.0,9.0,-120.635061,35.130328
2011.0,8.0,-75.52331203881798,35.2581815
2011.0,8.0,-78.3038892,33.9135061
2011.0,7.0,9.737825273412698,52.37745845
2010.0,10.0,-67.011201,44.914052
2010.0,10.0,-76.96749196517237,26.5288141
2010.0,7.0,-80.0964326,26.192028
2010.0,1.0,-78.65225189487064,33.853809850000005
2010.0,1.0,109.232667,13.770409
2010.0,1.0,9.200036,50.200404
2022.0,10.0,-124.227898,43.377451
2022.0,9.0,-77.17178880647343,24.03980025
2022.0,6.0,-81.57019735010883,24.7552924
2022.0,1.0,151.2942716,-33.690306
2021.0,12.0,-87.70787,18.7165847
2021.0,10.0,-80.2129211,46.0550003
2021.0,7.0,-80.9369983,29.0963729
2020.0,10.0,-53.96063,47.7235
2020.0,9.0,-82.780389,27.920859
2020.0,9.0,-80.25567726584178,27.22089615
2020.0,8.0,-80.81711,35.19534
2020.0,7.0,118.793617,9.8798611
2020.0,5.0,-121.8519513,36.9237571
2019.0,12.0,27.888413,-32.995213
2019.0,7.0,-81.3931396,30.2946859
2019.0,6.0,-76.69236137025939,34.6987266
2018.0,12.0,173.9110995,-35.0339202
2018.0,8.0,-118.0000166,33.6783336
2018.0,5.0,-79.7880359,32.7867697
2018.0,4.0,-156.494229,20.885745
2017.0,5.0,-118.0706056,33.7179231
2017.0,4.0,-81.0557921,29.2854132
2017.0,2.0,-92.35838,34.659278
2017.0,2.0,-32.420733,-3.846635
2017.0,1.0,6.865651,52.483372
2016.0,12.0,-75.155649,39.953265
2016.0,11.0,-156.44740074805583,20.72133105
2016.0,7.0,-118.0823511,33.7277995
2016.0,7.0,145.66854498757334,-16.747201
2016.0,6.0,-159.35172239903682,21.96022935
2016.0,6.0,-94.9369341717906,29.20555215
2016.0,4.0,-143.568626,-16.6205914
2015.0,11.0,-80.0361517,26.7056172
2015.0,10.0,-94.442234,49.6091309
2015.0,10.0,28.442726,-26.092945
2015.0,9.0,-80.9271271,29.0258132
2015.0,8.0,-0.157783476809866,38.5321187
2015.0,2.0,-61.5369196,16.2554873
2014.0,6.0,138.101306,-35.606205
2013.0,10.0,-1.775971,51.341783
2013.0,10.0,-86.4957834,30.3935337
2013.0,9.0,-80.07059498915211,26.92914025
2013.0,6.0,-80.6926069,32.3790843
2013.0,2.0,-88.025,15.50417
2012.0,11.0,-156.4410367355069,20.6539101
2012.0,10.0,-80.6041264,28.4010469
2012.0,6.0,-78.8900409,33.6956461
2012.0,2.0,153.1280207808735,-26.755654
2011.0,12.0,153.5844444,-28.715
2011.0,6.0,-106.647296,35.0834079
2011.0,4.0,-97.2780467,30.0738294
2011.0,3.0,152.739994,-31.53345
2011.0,2.0,153.1117838,-26.4051292
2010.0,9.0,-124.17378858948894,43.67760655
2010.0,8.0,146.7718075,-19.2095464
2010.0,7.0,-81.3931396,30.2946859
2010.0,6.0,-77.53021869456106,34.443730900000006
2010.0,5.0,152.9754159,-31.314908
2010.0,5.0,-80.9271271,29.0258132
2022.0,8.0,-121.9066666082507,36.6233941
2022.0,7.0,-78.14653247050776,33.9134789
2022.0,6.0,-78.8900409,33.6956461
2022.0,1.0,117.94304635054442,-35.0913009
2021.0,7.0,115.5782296,-20.652273
2021.0,7.0,32.566841,0.332561
2021.0,4.0,166.40190174956027,-22.2649896
2020.0,12.0,-117.1766947,32.6915199
2019.0,10.0,-80.9271271,29.0258132
2019.0,5.0,152.105413,-24.727112
2019.0,2.0,-32.43898607414894,-3.84975155
2018.0,11.0,-80.0539253,26.8815475
2018.0,8.0,-77.2673598,26.6780828
2018.0,8.0,34.893817,25.069992
2018.0,5.0,0.901645,52.218064
2018.0,2.0,-95.538815,29.525609
2017.0,9.0,-81.40284284733937,30.37095535
2017.0,7.0,-80.7512616,32.1618488
2017.0,4.0,-80.9271271,29.0258132
2016.0,10.0,-109.058803,44.572828
2016.0,9.0,-80.9271271,29.0258132
2016.0,9.0,144.4525983,-38.283703
2016.0,4.0,-80.037993,26.6915
