Year,Month,Longitude,Latitude,SST_Celsius,Population,SharkDensity
2015.0,7.0,55.2881932,-21.1677694,18.2,147209,0.0
2015.0,6.0,153.5837114938711,-28.6155104,19.3,447692,0.0
2014.0,12.0,31.009909,-29.861825,21.0,201851,0.0
2014.0,10.0,-156.44639965521395,20.763395,22.7,0,0.0
2014.0,7.0,-16.5527258,28.4151878,21.1,232388,0.0
2014.0,7.0,107.06400184790972,20.7609394,27.2,4282738,0.0
2014.0,4.0,-80.9271271,29.0258132,17.8,279668,0.0377358490566037
2014.0,4.0,149.9850271,-36.7284498,20.9,447692,0.1132075471698113
2013.0,11.0,-74.0543036,40.0717828,19.8,5206593,0.0
2013.0,10.0,-156.44189366786708,20.89977655,22.7,0,0.0
2013.0,9.0,-80.9271271,29.0258132,23.3,279668,0.0377358490566037
2013.0,7.0,-156.4436696461002,20.6905308,24.2,0,0.0
2013.0,6.0,-124.20301040108598,47.2059855,11.9,1363159,0.0
2012.0,6.0,115.739269,-31.779677,18.4,281135,0.0
2011.0,11.0,125.679695,7.063686,27.9,11410,0.0
2011.0,7.0,-74.61832235823022,39.44065465,23.3,5206593,0.0
2011.0,6.0,30.832794475,-30.22989895,17.0,201851,0.0
2011.0,5.0,-81.3856384,30.2396865,19.8,279668,0.0
2011.0,5.0,-81.0557921,29.2854132,19.8,279668,0.0188679245283018
2011.0,1.0,29.534373,-31.64071,21.9,201851,0.0566037735849056
2010.0,11.0,-69.61487003494634,18.4570748,21.6,3172152,0.0
2010.0,10.0,118.40001739573384,-34.8801321,17.5,447692,0.0
2010.0,7.0,-79.54626029456522,43.586508,12.5,1363159,0.0
2010.0,5.0,48.255,-13.3,24.1,6180,0.0
2010.0,2.0,-95.494788,29.712913,15.8,21580827,0.0
2022.0,10.0,-70.3453008,41.6367773,21.8,1363159,0.0188679245283018
2022.0,7.0,-80.9271271,29.0258132,23.3,279668,0.0377358490566037
2022.0,6.0,9.587239,54.479305,13.0,1320826,0.0
2022.0,4.0,7.964385,48.816164,9.3,119752,0.0
2022.0,2.0,-120.3643817,34.033118,9.8,21580827,0.0
2021.0,12.0,-81.39849379360793,30.3442658,17.8,279668,0.0
2021.0,10.0,-123.06814965031306,38.33872845,14.6,21580827,0.0377358490566037
2021.0,4.0,-156.0016667,19.8241667,19.0,0,0.0377358490566037
2021.0,4.0,116.8478592,-20.7370067,25.7,281135,0.0
2021.0,3.0,-80.0539253,26.8815475,16.3,279668,0.2452830188679245
2020.0,11.0,122.2136937,-17.9328115,24.6,281135,0.0
2020.0,9.0,118.793617,9.8798611,30.5,13482468,0.0
2020.0,7.0,-80.9271271,29.0258132,23.3,279668,0.0377358490566037
2020.0,3.0,145.7721854,-16.9206657,28.4,366862,0.0
2020.0,3.0,179.98988,-16.17127,28.7,178339,0.0
2019.0,10.0,148.956176,-20.351821,22.0,366862,0.1698113207547169
2019.0,5.0,-74.1757169,39.6496005,19.8,5206593,0.0
2019.0,5.0,-7.124961621292175,43.5539156,12.8,6497124,0.0
2019.0,4.0,-155.8897838,19.9154922,19.0,0,0.0377358490566037
2018.0,12.0,174.7899404,-36.3160135,21.2,411346,0.0566037735849056
2018.0,10.0,-79.05562,35.836123,21.8,5206593,0.0
2018.0,7.0,-81.3145395,29.8946952,23.3,279668,0.0
2018.0,7.0,-80.65060425561052,28.68150735,23.3,279668,0.0377358490566037
2018.0,2.0,-40.1721991,-19.5687682,27.0,4469585,0.0
2017.0,10.0,-80.03754,26.78506,21.8,279668,0.2452830188679245
2017.0,9.0,121.8931606,-33.858228,16.3,447692,0.0
2016.0,10.0,-123.9858194008117,45.9430675,12.2,1363159,0.0188679245283018
2016.0,8.0,-81.3800824,30.2274645,23.8,279668,0.0
2016.0,6.0,-79.83133553033889,32.770151,21.8,5206593,0.0
2016.0,3.0,-156.6221108,20.811858,17.2,0,0.0
2015.0,6.0,-78.426672,33.8943393,21.8,5206593,0.0
2015.0,6.0,-80.60851227500001,28.33658225,21.8,279668,0.0377358490566037
2015.0,5.0,-147.7122831,-14.9397476,22.5,136005,0.0188679245283018
2015.0,3.0,-142.66871,-17.54584,25.1,136005,0.0
2014.0,10.0,-80.5603303,28.0683496,21.8,279668,0.0377358490566037
2014.0,9.0,-80.9271271,29.0258132,23.3,279668,0.0377358490566037
2014.0,8.0,-84.9618537,29.6729916,23.8,2136468,0.0
2014.0,8.0,-80.60851227500001,28.33658225,23.8,279668,0.0377358490566037
2014.0,2.0,128.49336681367822,-66.66477085,13.9,447692,0.0
2013.0,7.0,-158.046774,21.305153,24.2,30661,0.2075471698113207
2012.0,11.0,153.1131848665925,-26.6852565,21.9,447692,0.0
2012.0,9.0,-80.60851227500001,28.33658225,23.3,279668,0.0377358490566037
2012.0,3.0,152.92949693997366,-31.4463697,24.2,447692,0.0188679245283018
2011.0,12.0,9.0107886,48.6872119,9.3,5470,0.0
2011.0,12.0,-0.3370679567963692,51.416862550000005,9.0,9046485,0.0
2011.0,11.0,-121.4938309,37.0532901,12.9,21580827,0.0
2011.0,7.0,-72.099466,41.321975,23.3,5206593,0.0
2011.0,6.0,-77.43163,34.4901665,21.8,5206593,0.0377358490566037
2011.0,1.0,-87.8359632,18.2703769,18.1,22964,0.0
2010.0,8.0,-61.824679,17.108788,25.9,20764,0.0
2010.0,4.0,-159.5091667,22.21,18.4,30661,0.0
2022.0,10.0,138.5205924,-35.0322783,17.5,447692,0.0188679245283018
2021.0,12.0,171.3987682,-42.1295359,19.4,411346,0.0
2021.0,9.0,-80.9369983,29.0963729,23.3,279668,0.0377358490566037
2021.0,8.0,153.44873819512986,-27.564732900000003,17.6,447692,0.0188679245283018
2021.0,7.0,-80.9369983,29.0963729,23.3,279668,0.0377358490566037
2021.0,7.0,-74.0259399,40.6292647,23.3,5206593,0.0188679245283018
2021.0,5.0,138.4473418,-35.2963894,19.5,447692,0.0
2021.0,5.0,-64.679527,18.347155,21.6,15137,0.0
2021.0,3.0,-80.3975399,27.6387163,16.3,279668,0.0
2021.0,1.0,151.61098690621913,-33.0657425,23.6,447692,0.1509433962264151
2020.0,8.0,-78.8900409,33.6956461,23.8,5206593,0.0
2020.0,7.0,145.99456274913973,-16.9312865,21.4,366862,0.0
2020.0,5.0,146.3332122,-18.5275241,24.3,366862,0.0377358490566037
2020.0,1.0,121.8931606,-33.858228,23.3,447692,0.0
2019.0,6.0,-81.0323281,32.0487979,21.8,5206593,0.0
2019.0,2.0,31.7565591,-28.9557332,23.3,68010,0.0
2019.0,2.0,-80.1635261,25.6968351,15.8,279668,0.0566037735849056
2018.0,10.0,-157.8264334,21.2725844,22.7,30661,0.2075471698113207
2018.0,10.0,-117.2523168,32.9950303,16.1,21580827,0.320754716981132
2018.0,9.0,-117.146651,32.956135,17.6,21580827,0.0
2017.0,11.0,-121.9416932,36.5648881,12.9,21580827,0.0
2017.0,10.0,-13.285824,8.488129,25.6,1135949,0.0
2017.0,8.0,34.63782434339299,25.5685088,23.0,20076002,0.0
2017.0,4.0,-81.3145395,29.8946952,17.8,279668,0.0
2016.0,12.0,22.513069,-33.981629,19.8,4430367,0.0188679245283018
2016.0,10.0,-81.41534028069897,30.38425255,21.8,279668,0.0
2016.0,7.0,147.5234993,-42.9899255,13.6,447692,0.0
2016.0,5.0,-80.0830984,26.3586885,19.8,279668,0.1320754716981132
2016.0,4.0,121.629116,25.100385,20.5,2705791,0.0
2016.0,1.0,56.328537,25.124892,17.0,1419699,0.0
2015.0,9.0,-81.4559,30.61147,23.3,279668,0.0
2015.0,9.0,98.2934247483523,7.84395745,29.1,7563912,0.0
2015.0,7.0,-77.550022,34.43284,23.3,5206593,0.0377358490566037
2015.0,4.0,-82.82602787788147,41.65787975,17.8,5206593,0.0
2014.0,12.0,-120.86155658944108,35.293805250000005,11.5,21580827,0.0
2014.0,12.0,-95.603341,35.439468,17.8,5206593,0.0
2014.0,10.0,-119.7006062372549,34.4009409,15.8,21580827,0.0943396226415094
2014.0,8.0,-77.75808806783176,34.2701077,23.8,5206593,0.0
2014.0,6.0,123.9595243,-16.3789278,23.2,281135,0.0
2014.0,5.0,-6.699256908842367,53.68197665,9.8,1201426,0.0
2014.0,3.0,-80.0728201,26.4614625,16.3,279668,0.1320754716981132
2014.0,2.0,-151.01346965159058,-16.72858845,25.9,136005,0.0
2013.0,12.0,-70.733441,43.177708,7.0,1363159,0.0188679245283018
2013.0,11.0,115.755646,-31.875075,20.4,281135,0.0
2013.0,7.0,-79.7880359,32.7867697,23.3,5206593,0.0
2013.0,4.0,-80.076173,26.526863,17.8,279668,0.1320754716981132
2013.0,3.0,-76.1305518,25.0864501,16.3,279668,0.0
2013.0,1.0,175.79334747708964,-36.609584549999994,22.4,411346,0.0
2012.0,10.0,-80.13991799627857,27.080492,21.8,279668,0.2452830188679245
2012.0,7.0,-70.02105051914985,42.00054875,12.5,1363159,0.1509433962264151
2012.0,6.0,-156.674697,20.979507,22.7,0,0.0
2012.0,3.0,-80.9271271,29.0258132,16.3,279668,0.0377358490566037
2011.0,9.0,-78.6800323,33.8278405,23.3,5206593,0.0
2011.0,9.0,-70.733441,43.177708,12.5,1363159,0.0188679245283018
2011.0,4.0,-80.0650293,26.784343,17.8,279668,0.2452830188679245
2010.0,8.0,126.54825445912049,33.38034745,24.1,9963497,0.0
2010.0,7.0,-83.930523,43.662287,12.5,1363159,0.0
2010.0,6.0,109.232667,13.770409,27.8,1952329,0.0
2010.0,6.0,-81.3856384,30.2396865,21.8,279668,0.0
2010.0,2.0,148.93284326980898,-20.35923885,28.0,366862,0.1698113207547169
2022.0,9.0,-81.0903512,24.7137524,23.3,2136468,0.0377358490566037
2022.0,4.0,-80.6127027095099,24.9362785,17.8,2136468,0.0754716981132075
2022.0,3.0,-80.9271271,29.0258132,16.3,279668,0.0377358490566037
2022.0,1.0,150.6954555348664,-35.1135765,23.0,447692,0.0377358490566037
2021.0,7.0,-73.5029044,40.5945469,23.3,5206593,0.0188679245283018
2021.0,7.0,-47.4252319,-23.7074096,18.3,4469585,0.0
2021.0,1.0,-32.43898607414894,-3.84975155,31.3,4469585,0.0
2020.0,9.0,-74.180857,41.320776,23.3,5206593,0.0
2020.0,9.0,-80.82051123947215,28.888210800000003,23.3,279668,0.0377358490566037
2020.0,3.0,-80.9271271,29.0258132,16.3,279668,0.0377358490566037
2020.0,2.0,-156.4390415,20.6871749,16.7,0,0.0
2019.0,6.0,-77.15528898454684,25.105065850000003,21.8,279668,0.0377358490566037
2019.0,5.0,168.27513808830548,-17.0542997,24.9,52690,0.0
2018.0,12.0,-0.123656797641027,51.5610463,9.0,9046485,0.0
2018.0,9.0,-80.3256056,27.4467056,23.3,279668,0.0
2018.0,2.0,31.009909,-29.861825,23.0,201851,0.0
2018.0,1.0,-77.38165,39.61427,16.3,5206593,0.0
2017.0,12.0,-60.86973,14.47212,20.8,79361,0.0
2017.0,11.0,151.4344444,-33.465,20.1,447692,0.0
2017.0,9.0,19.131667,-34.388611,12.3,4430367,0.0
2017.0,8.0,174.53333,-35.6,15.2,411346,0.0188679245283018
2017.0,7.0,-81.660992,30.369914,23.3,279668,0.0
2017.0,6.0,-80.0375408,26.7850625,21.8,279668,0.2452830188679245
2017.0,6.0,115.638324,-33.327283,18.1,281135,0.0
2017.0,5.0,141.8710861,-12.6386641,26.1,366862,0.0
